Alameda,33,0,1,0,6,5,0,1,0,0,1,13,6
Amador,67,2,3,14,6,12,1,15,1,0,0,9,4
Amador-El Dorado,262,6,6,56,19,34,10,49,6,0,4,43,29
Butte,192,40,2,34,11,9,4,47,6,0,2,22,15
Butte,193,40,2,34,11,9,4,48,6,0,2,22,15
Calaveras,100,1,3,17,12,17,9,17,3,0,1,13,7
Colusa,2,0,0,0,0,0,0,0,1,0,0,0,1
Contra Costa,29,1,1,1,5,1,0,3,0,0,0,15,2
Del Norte,27,2,7,3,0,0,1,4,1,0,0,8,1
El Dorado,174,3,3,41,11,18,9,32,5,0,4,26,22
E. San Joaquin,7,0,0,0,2,2,0,1,0,0,0,0,2
E. Stanislaus,21,1,1,1,1,4,0,2,0,0,0,8,3
E. Trinity,15,3,0,4,0,0,5,2,0,0,0,0,1
Fresno,57,5,2,12,5,4,1,9,0,0,1,13,5
Glenn,4,0,0,0,0,0,0,2,0,0,0,2,0
Humboldt,127,40,17,8,8,4,0,15,0,0,2,30,3
Inyo,19,0,0,2,1,1,2,2,2,0,0,7,2
Kings,3,0,0,0,0,0,0,1,0,0,0,0,2
Lake,62,0,4,9,4,2,0,11,6,0,0,15,11
Lassen,67,1,2,12,0,2,40,1,0,0,0,7,2
Madera,72,12,4,9,2,3,2,12,1,0,1,19,7
Mariposa,38,1,2,12,5,1,1,1,0,0,1,12,2
Mendocino,138,17,6,22,11,6,4,34,1,0,2,20,15
Merced,14,0,0,0,2,0,0,1,0,0,0,10,1
Modoc,11,0,0,4,0,0,5,0,0,0,0,2,0
Monterey,33,0,1,3,9,2,0,7,0,0,0,6,5
Napa,58,5,0,6,12,5,0,13,0,0,1,11,5
Nevada,75,3,4,20,7,5,2,7,0,0,3,21,3
Placer,126,1,4,16,10,16,5,13,3,3,5,44,6
Plumas,7,0,0,1,0,0,1,2,0,0,0,3,0
Riverside,106,4,6,12,7,9,5,15,3,0,4,38,3
Sacramento,15,1,0,1,2,2,0,2,0,0,0,5,2
San Benito,11,1,0,1,3,0,0,4,0,0,0,1,1
San Bernardino,115,10,18,25,1,2,1,24,2,1,4,25,2
San Diego,145,4,6,12,11,2,2,21,0,0,2,66,19
San Joaquin,6,0,0,0,0,2,0,0,0,0,0,3,1
San Luis Obispo,85,0,6,4,10,7,0,21,1,0,2,22,12
San Mateo,12,0,0,1,2,0,0,1,1,0,0,6,1
Santa Clara,37,2,3,0,3,5,0,2,1,0,3,13,5
Santa Cruz,62,11,7,11,8,2,0,5,1,0,2,13,2
Shasta,0,0,0,0,0,0,0,0,0,0,0,0,0
Shasta,2,0,1,0,0,0,0,0,0,0,0,1,0
Sierra,0,0,0,0,0,0,0,0,0,0,0,0,0
Siskiyou,1,0,0,1,0,0,0,0,0,0,0,0,0
Siskiyou,160,5,5,8,5,2,47,62,0,1,2,18,5
Solano,12,0,0,2,0,3,0,3,0,0,0,3,1
Sonoma,120,4,13,24,21,14,0,21,1,0,0,11,11
Sutter,0,0,0,0,0,0,0,0,0,0,0,0,0
Tehama,1,0,0,0,0,0,0,1,0,0,0,0,0
Tehama,68,1,0,10,2,7,4,14,2,0,0,23,5
Tulare,45,10,2,4,3,4,0,5,0,0,1,10,6
Tuolumne,94,5,1,17,9,5,3,16,2,0,0,31,5
W. San Joaquin,0,0,0,0,0,0,0,0,0,0,0,0,0
W. Stanislaus,15,0,0,0,0,0,0,0,0,0,0,8,7
Yolo,17,0,0,0,2,6,0,3,0,0,1,4,1
Yuba,49,2,1,11,6,2,1,5,0,0,2,17,2
